wavenumber,GN 11-389,GN 11-400,GN 11-407,GN 11-411,GN 11-416,GN 11-419,GN 11-422,GN 11-423,GN 11-428,GN 11-434,GN 11-435,GN 11-460,HW 07-151,HW 11-137,HW 11-144,HW 11-146,HW 11-148,HW 11-149,HW 11-172,HW 11-173,HW 11-176,HW 11-179,HW 11-184,LG 09-384,LG 11-309,LG 11-393,LG 11-395,LG 11-397,LG 11-404,LG 11-412,LG 11-414,LG 11-418,LG 11-432,LG 11-433,LG 11-438,LG 11-461,SW 11-138,SW 11-139,SW 11-154,SW 11-158,SW 11-178,OCC 11-457,OCC 11-462,OCC 11-463,OMG 08-82,OMG 11-454,OMG 11-455,OMG 11-456,ONP 08-78,ONP 09-388,ONP 11-450,ONP 11-451,ONP 11-458,ONP 11-459,OFF 10-506,OFF 13-144,OFF 08-80,OFF 08-852
3990,0.00066476,0.000646003,0.000588901,0.000184336,0.000317965,0.000254346,3.98E-05,0.000225503,0.000156928,0.00068667,0.000416493,0.000403173,0.00027619,0.000312579,3.24E-05,0.000163699,0.000201573,8.21E-05,0.000147935,0.000133207,0.000185579,0.000222326,9.94E-05,0.000182893,9.82E-05,0.000717072,0.000522426,0.000474164,0.000253749,0.000179421,0.000173763,0.00031922,0.000515065,0.000594879,0.000559321,0.00022723,0.000174932,6.20E-05,7.17E-05,0.000108459,0.000119277,0.000196179,0.000158043,8.58E-05,0.000374928,0.000372165,0.000265482,0.000414189,0.000235855,0.000378133,0.00049704,0.000318239,0.000243552,0.000344654,0.000184542,5.35E-05,0.000201524,0.000213443
3989,0.000732396,0.000670089,0.000495414,0.000220747,0.000303472,0.000241179,3.84E-05,0.000243387,0.000148948,0.000742205,0.000291267,0.000421409,0.000228192,0.000206636,0,8.01E-05,0.000162226,4.29E-05,6.72E-05,6.15E-05,0.000181614,0.000101777,4.31E-05,0.000202253,0.000103929,0.000763132,0.000461558,0.000469395,0.000279947,0.00021693,0.000186061,0.000367902,0.000505216,0.000586968,0.000570982,0.000223056,7.99E-05,5.12E-05,6.87E-05,4.76E-05,3.18E-05,7.76E-05,0.000106734,0,0.000379374,0.000409581,0.000303162,0.000562876,0.000285373,0.000452684,0.000608791,0.000378162,0.000320897,0.000435061,0.000141748,4.46E-05,0.00011048,0.000116975
3988,0.000744376,0.000626253,0.000426285,0.000278824,0.0002958,0.0002355,7.06E-05,0.000298672,0.000198071,0.000757703,0.000205773,0.000420669,0.000199563,0.000160698,4.57E-05,5.50E-05,0.000183188,4.76E-05,6.03E-05,4.29E-05,0.00020678,3.44E-05,3.92E-05,0.000231232,0.00012933,0.000811665,0.000366818,0.000449285,0.000292917,0.000225224,0.000193158,0.00041013,0.000475136,0.000578445,0.000559003,0.000216871,2.43E-05,9.21E-05,0.000167067,7.05E-05,2.26E-05,0,0.000109586,3.73E-05,0.000387517,0.000404207,0.000287775,0.000661445,0.000299705,0.000506538,0.000672352,0.00042444,0.000342218,0.000500594,0.000166182,0.000106829,8.95E-05,6.31E-05
3987,0.000728679,0.000545779,0.000406637,0.000338674,0.000278252,0.000241859,0.000117657,0.000370779,0.000299808,0.000717715,0.000193219,0.000397527,0.00018753,0.000181836,0.00013549,9.29E-05,0.000246708,0.000102632,0.000120352,8.59E-05,0.000256302,3.64E-05,0.000105568,0.000266429,0.000185121,0.000833001,0.00025519,0.000385884,0.000274488,0.000204742,0.000175968,0.000431277,0.000409762,0.000572382,0.00054717,0.000202696,1.65E-05,0.000173539,0.000309854,0.000159684,8.46E-05,3.41E-06,0.000158685,0.000176773,0.000364918,0.000347175,0.000232751,0.000690791,0.000252097,0.000520681,0.000666063,0.000439843,0.000298328,0.000517457,0.000241998,0.000213627,0.000134593,6.67E-05
3986,0.000727631,0.000484082,0.00042514,0.000386892,0.000256569,0.000264331,0.000160054,0.000427886,0.00041688,0.000630139,0.00024505,0.00036338,0.00017392,0.000211836,0.000221968,0.000159305,0.000304809,0.000181277,0.000201302,0.000153791,0.000307426,8.31E-05,0.000210075,0.000312101,0.000271087,0.000821233,0.000168718,0.000292137,0.000237517,0.000182131,0.000145395,0.000442493,0.000327269,0.000576227,0.000565061,0.000194157,3.76E-05,0.000260359,0.000408751,0.000261051,0.000172871,8.08E-05,0.00021611,0.000321567,0.000311101,0.00024654,0.00017196,0.000664198,0.000149064,0.000497494,0.000606046,0.000427518,0.000219391,0.000472491,0.000310671,0.000318328,0.000203242,0.000106449
3985,0.000753719,0.000463154,0.000454766,0.000425055,0.000254557,0.000304623,0.000183991,0.000455968,0.000501179,0.000527043,0.000317683,0.000348457,0.000153373,0.000191334,0.000279047,0.000212462,0.00031608,0.000244692,0.00025838,0.000204335,0.000342022,0.000139139,0.000295359,0.000369615,0.000377979,0.000793529,0.00014973,0.000212516,0.00022461,0.000189491,0.000134781,0.000464899,0.000267115,0.000593386,0.000624596,0.000215144,6.35E-05,0.000315187,0.000415782,0.000331175,0.000249158,0.000189562,0.000249989,0.000382416,0.000266269,0.000128825,0.000133895,0.000611076,4.20E-05,0.000457194,0.00052972,0.000408326,0.000150362,0.000385307,0.000321466,0.000387267,0.000253308,0.000147524
3984,0.000776408,0.000462509,0.000469501,0.000465849,0.000287689,0.000352137,0.000187139,0.000468367,0.000533104,0.000440395,0.000357917,0.000372319,0.000136248,0.000118837,0.000305411,0.000229889,0.000269334,0.000266212,0.000274027,0.000219494,0.000352843,0.000188578,0.000317875,0.000429195,0.000490713,0.000766964,0.000204441,0.000180838,0.000266082,0.000234775,0.000169722,0.000504667,0.000255179,0.000618058,0.000703461,0.000269235,8.22E-05,0.000315493,0.000352444,0.000357744,0.000303083,0.000280901,0.000254039,0.000343278,0.000274835,3.35E-05,0.000127571,0.000561664,0,0.000428601,0.000475358,0.000407862,0.000122245,0.000310064,0.000271355,0.000410422,0.000268428,0.00016373
3983,0.000751362,0.000455508,0.000450053,0.000514826,0.000349111,0.000383797,0.000183107,0.000487783,0.000537954,0.000380067,0.000337224,0.000416441,0.000128153,4.51E-05,0.000305437,0.0002101,0.00018176,0.000240899,0.000251564,0.000202361,0.00033429,0.000232594,0.000268335,0.000476214,0.000591356,0.00074028,0.000297362,0.000199734,0.000344937,0.000298915,0.000248052,0.000547676,0.000287193,0.000644033,0.000756253,0.000328555,9.25E-05,0.000259043,0.000274484,0.000343243,0.000336937,0.000321529,0.000237252,0.000250191,0.000345036,0,0.00014735,0.000540079,6.01E-05,0.000438065,0.000468053,0.000439943,0.000145463,0.000305028,0.000197722,0.000387616,0.000251658,0.000144148
3982,0.000665968,0.000442902,0.000392757,0.000555695,0.000419753,0.000383008,0.000195823,0.000521458,0.000560417,0.00033956,0.000275786,0.00044032,0.000117578,1.83E-05,0.000277887,0.000162942,8.64E-05,0.000181903,0.000196712,0.000162678,0.000281995,0.00026895,0.000169264,0.00050073,0.000660348,0.000700662,0.000384009,0.000254786,0.000412852,0.000358128,0.000346088,0.000574955,0.000342065,0.000674442,0.000748539,0.000360229,9.71E-05,0.000164717,0.000216809,0.00028548,0.000344627,0.000301677,0.00020642,0.000155032,0.000443959,4.97E-05,0.000185368,0.00055855,0.000199505,0.000492795,0.000510555,0.000496222,0.000218591,0.000391871,0.000139683,0.000317983,0.000207648,9.41E-05
3981,0.000557682,0.000449497,0.000322604,0.000556624,0.00048226,0.000358709,0.000238188,0.000554112,0.000619724,0.000318241,0.000231493,0.000428152,9.08E-05,4.21E-05,0.000225373,0.000109074,2.09E-05,0.000115422,0.000116228,0.000115732,0.000209326,0.00028632,6.36E-05,0.000497439,0.0006793,0.00064665,0.000445354,0.000328229,0.000440947,0.000402341,0.000435735,0.000579822,0.000402612,0.00071593,0.000685096,0.000359314,0.000102635,6.94E-05,0.000175175,0.000185597,0.000315958,0.000238546,0.000163639,8.13E-05,0.000524719,0.000172928,0.00023779,0.000611345,0.000355893,0.000569491,0.000582354,0.000551328,0.000331412,0.00054008,0.000112609,0.000210043,0.000139993,3.86E-05
